Image Path,Model Prediction,ChatGPT Prediction,Confidence Score,Match Status
saved_images/002.jpg,BRAKE CALIPER,BRAKE CALIPER,99.99,✅ Match
saved_images/003.jpg,BRAKE CALIPER,BRAKE CALIPER,99.79,✅ Match
saved_images/004.jpg,BRAKE CALIPER,BRAKE CALIPER,99.99,✅ Match
saved_images/005.jpg,THERMOSTAT ASSEMBLY,BRAKE CALIPER,28.69,❌ Mismatch
saved_images/007.jpg,BRAKE CALIPER,BRAKE CALIPER,100.0,✅ Match
saved_images/008.jpg,BRAKE CALIPER,BRAKE CALIPER,99.98,✅ Match
saved_images/009.jpg,BRAKE CALIPER,BRAKE CALIPER,100.0,✅ Match
saved_images/010.jpg,BRAKE CALIPER,BRAKE CALIPER,100.0,✅ Match
saved_images/enquiry_6586_image1_WhatsApp_Image_2023-02-04_at_12.52.36.jpg,BULB,ACCELERATOR PEDAL ASSEMBLY,70.45,❌ Mismatch
saved_images/enquiry_6586_image2_WhatsApp_Image_2023-02-04_at_12.52.44.jpg,BRAKE BOOSTER,ALTERNATOR,43.21,❌ Mismatch
saved_images/enquiry_10423_image1_WhatsApp_Image_2023-07-29_at_13.41.25.jpg,TAIL LAMP ASSEMBLY - LH,TAIL LAMP ASSEMBLY - RH,65.54,❌ Mismatch
saved_images/enquiry_15737_image1_WhatsApp_Image_2024-03-29_at_16.52.11_bfb9fc12.jpg,TAIL LAMP ASSEMBLY - RH,TAIL LAMP ASSEMBLY - RH,95.85,✅ Match
saved_images/download (1).jpg,BONNET,BONNET,100.0,✅ Match
saved_images/download (2).jpg,BONNET,BONNET,100.0,✅ Match
saved_images/download (3).jpg,BONNET,BONNET,100.0,✅ Match
saved_images/download (4).jpg,BONNET,BONNET,100.0,✅ Match
saved_images/download (6).jpg,BONNET,BONNET,100.0,✅ Match
saved_images/download (7).jpg,BONNET,BONNET,99.09,✅ Match
saved_images/download (8).jpg,BONNET,BONNET,99.34,✅ Match
saved_images/download (9).jpg,BONNET,BONNET,99.99,✅ Match
saved_images/enquiry_15325_image1_WhatsApp_Image_2024-03-05_at_15.37.41_33a973c9.jpg,ACCELERATOR PEDAL ASSEMBLY,WIPER MOTOR ASSEMBLY,96.22,❌ Mismatch
saved_images/enquiry_15325_image2_WhatsApp_Image_2024-03-05_at_15.37.42_7f3b75cb.jpg,FRONT SHOCK ABSORBER,WIPER MOTOR ASSEMBLY,81.64,❌ Mismatch
saved_images/enquiry_15325_image3_WhatsApp_Image_2024-03-05_at_15.37.42_809b91cd.jpg,INJECTOR,STARTER,92.35,❌ Mismatch
saved_images/enquiry_15460_image2_WhatsApp_Image_2024-03-12_at_15.33.17_b7b1704d.jpg,TAIL LAMP ASSEMBLY - RH,TAIL LAMP ASSEMBLY - RH,99.58,✅ Match
saved_images/enquiry_15561_image1_WhatsApp_Image_2024-03-18_at_11.19.24_df094d45.jpg,COVER ASSEMBLY,CLUTCH DISC,99.93,❌ Mismatch
saved_images/enquiry_15569_image2_WhatsApp_Image_2024-03-18_at_12.25.22_7b5f9059.jpg,GLOW PLUG,TAIL LAMP ASSEMBLY - RH,96.35,❌ Mismatch
saved_images/enquiry_15573_image1_WhatsApp_Image_2024-03-18_at_13.16.02_81884fe7.jpg,INSTRUMENT CLUSTER,INSTRUMENT CLUSTER,72.86,✅ Match
saved_images/enquiry_15583_image1_WhatsApp_Image_2024-03-18_at_18.35.32_1b7ece95.jpg,INJECTOR,INJECTOR,33.73,✅ Match
saved_images/enquiry_15632_image2_WhatsApp_Image_2024-03-21_at_14.05.09_9165387f.jpg,FUEL TANK CAP,BRAKE DISC,69.16,❌ Mismatch
saved_images/enquiry_15640_image1_WhatsApp_Image_2024-03-22_at_11.20.26_91e6a1b4.jpg,INSTRUMENT CLUSTER,FOG LAMP,59.33,❌ Mismatch
saved_images/enquiry_15697_image1_WhatsApp_Image_2024-03-27_at_15.41.30_ad67cb9c.jpg,SENSOR,SENSOR,99.98,✅ Match
saved_images/enquiry_15712_image2_WhatsApp_Image_2024-03-28_at_16.19.02_c5e83c44.jpg,POWER WINDOW SWITCH,POWER WINDOW SWITCH,100.0,✅ Match
saved_images/enquiry_15754_image1_IMG-20240330-WA0010.jpg,ACCELERATOR PEDAL ASSEMBLY,ACCELERATOR PEDAL ASSEMBLY,100.0,✅ Match
saved_images/enquiry_15754_image4_IMG-20240330-WA0007.jpg,IGNITION COIL,SENSOR,36.96,❌ Mismatch
saved_images/enquiry_15755_image2_IMG-20240330-WA0009.jpg,ACCELERATOR PEDAL ASSEMBLY,ACCELERATOR PEDAL ASSEMBLY,100.0,✅ Match
saved_images/enquiry_15757_image1_IMG-20240330-WA0010.jpg,ACCELERATOR PEDAL ASSEMBLY,ACCELERATOR PEDAL ASSEMBLY,100.0,✅ Match
saved_images/enquiry_15758_image1_IMG-20240330-WA0010.jpg,ACCELERATOR PEDAL ASSEMBLY,ACCELERATOR PEDAL ASSEMBLY,100.0,✅ Match
saved_images/enquiry_15758_image4_IMG-20240330-WA0007.jpg,IGNITION COIL,SENSOR,36.96,❌ Mismatch
